,gp,pts,fgm,fg_pct,fg3_pct,ft_pct,oreb,dreb,reb,ast,stl,tov,pf,team
Tyson Chandler,47,397,153,0.671,,0.734,153,386,539,30,33.0,65,126,suns
Leandro Barbosa,67,419,172,0.439,0.357,0.889,15,89,104,81,31.0,48,82,suns
Ronnie Price,14,14,4,0.167,0.176,0.75,3,8,11,18,11.0,3,14,suns
Jared Dudley,64,434,157,0.454,0.379,0.662,31,194,225,121,42.0,73,154,suns
Eric Bledsoe,66,1390,449,0.434,0.335,0.847,52,268,320,418,91.0,224,164,suns
Elijah Millsap,2,3,1,0.143,,0.5,3,3,6,1,,2,2,suns
Brandon Knight,54,595,209,0.398,0.324,0.857,25,93,118,130,27.0,88,87,suns
Alex Len,77,613,230,0.497,0.25,0.721,156,354,510,44,38.0,102,242,suns
TJ Warren,66,951,403,0.495,0.265,0.773,125,214,339,75,76.0,57,175,suns
Devin Booker,78,1726,606,0.423,0.363,0.832,46,203,249,268,72.0,241,242,suns
Alan Williams,47,346,138,0.517,,0.625,94,198,292,23,27.0,37,125,suns
Dragan Bender,43,146,57,0.354,0.277,0.364,23,80,103,23,10.0,32,74,suns
Marquese Chriss,82,753,284,0.449,0.321,0.624,96,252,348,60,67.0,108,263,suns
Tyler Ulis,61,444,184,0.421,0.266,0.775,20,75,95,226,48.0,77,73,suns
Derrick Jones Jr.,32,168,68,0.562,0.273,0.707,39,40,79,12,14.0,13,63,suns
